CÓD CURSO;CURSO;DURAÇÃO;CLIENTE;IMPORTE CLIENTE;PROFESSOR;IMPORTE PROFESSOR;DATA DO CURSO;TURNO DO CURSO;COMERCIAL;IMPORTE COMERCIAL;PAGAMENTO CLIENTE;PAÍS;CIDADE;PAGAMENTO COMERCIAL
COD-001;WORD;15;CLIENTE-001; 375,00 € ;PROFESSOR-003; 180,00 € ;03/09/2021;MANHÃ;COMERCIAL-003; 26,25 € ;SIM;ESPANHA;MADRI;SIM
COD-002;EXCEL;20;CLIENTE-002; 600,00 € ;PROFESSOR-002; 240,00 € ;30/09/2021;TARDE;COMERCIAL-002; 48,00 € ;SIM;ITÁLIA;ROMA;SIM
COD-003;ACCESS;18;CLIENTE-004; 720,00 € ;PROFESSOR-001; 216,00 € ;04/08/2019;MANHÃ;COMERCIAL-004; 72,00 € ;SIM;ESPANHA;MADRI;SIM
COD-004;WORD;25;CLIENTE-003; 625,00 € ;PROFESSOR-004; 300,00 € ;07/03/2019;MANHÃ;COMERCIAL-001; 43,75 € ;SIM;ITÁLIA;ROMA;NÃO
COD-005;WORD;20;CLIENTE-005; 500,00 € ;PROFESSOR-005; 240,00 € ;04/03/2021;MANHÃ;COMERCIAL-003; 35,00 € ;NÃO;FRANÇA;PARIS;NÃO
COD-006;WORD;10;CLIENTE-003; 250,00 € ;PROFESSOR-002; 120,00 € ;21/01/2019;MANHÃ;COMERCIAL-002; 17,50 € ;NÃO;ITÁLIA;ROMA;SIM
COD-007;EXCEL;12;CLIENTE-004; 360,00 € ;PROFESSOR-001; 144,00 € ;18/07/2020;TARDE;COMERCIAL-004; 28,80 € ;NÃO;ESPANHA;MADRI;SIM
COD-008;EXCEL;15;CLIENTE-003; 450,00 € ;PROFESSOR-004; 180,00 € ;16/04/2019;TARDE;COMERCIAL-001; 36,00 € ;NÃO;ITÁLIA;ROMA;SIM
COD-009;EXCEL;20;CLIENTE-006; 600,00 € ;PROFESSOR-003; 240,00 € ;06/08/2021;TARDE;COMERCIAL-002; 48,00 € ;NÃO;FRANÇA;PARIS;SIM
COD-010;INTERNET;25;CLIENTE-004; 625,00 € ;PROFESSOR-002; 300,00 € ;07/10/2021;TARDE;COMERCIAL-004; 31,25 € ;SIM;ESPANHA;MADRI;SIM
COD-011;WINDOWS;30;CLIENTE-007; 750,00 € ;PROFESSOR-001; 360,00 € ;07/02/2020;NOITE;COMERCIAL-001; 37,50 € ;SIM;ESPANHA;MADRI;SIM
COD-012;WINDOWS;40;CLIENTE-005; 1.000,00 € ;PROFESSOR-004; 480,00 € ;11/03/2021;NOITE;COMERCIAL-003; 50,00 € ;SIM;FRANÇA;PARIS;SIM
COD-013;WINDOWS;35;CLIENTE-006; 875,00 € ;PROFESSOR-005; 420,00 € ;19/03/2019;NOITE;COMERCIAL-002; 43,75 € ;SIM;FRANÇA;PARIS;SIM
COD-014;INTERNET;45;CLIENTE-008; 1.125,00 € ;PROFESSOR-002; 540,00 € ;19/08/2019;TARDE;COMERCIAL-004; 56,25 € ;SIM;ESPANHA;MADRI;SIM
COD-015;PROGRAMAÇÃO;18;CLIENTE-003; 1.350,00 € ;PROFESSOR-001; 216,00 € ;03/09/2019;TARDE;COMERCIAL-003; 202,50 € ;SIM;ITÁLIA;ROMA;SIM
COD-016;DESIGN;10;CLIENTE-005; 600,00 € ;PROFESSOR-004; 120,00 € ;18/04/2021;TARDE;COMERCIAL-002; 72,00 € ;SIM;FRANÇA;PARIS;SIM
COD-017;DESIGN;12;CLIENTE-006; 720,00 € ;PROFESSOR-005; 144,00 € ;05/01/2020;TARDE;COMERCIAL-004; 86,40 € ;SIM;FRANÇA;PARIS;SIM
COD-018;DESIGN;15;CLIENTE-004; 900,00 € ;PROFESSOR-002; 180,00 € ;21/08/2020;NOITE;COMERCIAL-001; 108,00 € ;SIM;ESPANHA;MADRI;NÃO
COD-019;ACCESS;25;CLIENTE-007; 1.000,00 € ;PROFESSOR-001; 300,00 € ;27/12/2019;NOITE;COMERCIAL-003; 100,00 € ;SIM;ESPANHA;MADRI;SIM
COD-020;ACCESS;15;CLIENTE-007; 600,00 € ;PROFESSOR-004; 180,00 € ;29/01/2021;NOITE;COMERCIAL-002; 60,00 € ;SIM;ESPANHA;MADRI;SIM
COD-021;ACCESS;20;CLIENTE-006; 800,00 € ;PROFESSOR-003; 240,00 € ;02/05/2020;NOITE;COMERCIAL-004; 80,00 € ;SIM;FRANÇA;PARIS;SIM
COD-022;ACCESS;20;CLIENTE-005; 800,00 € ;PROFESSOR-002; 240,00 € ;06/04/2020;NOITE;COMERCIAL-001; 80,00 € ;SIM;FRANÇA;PARIS;SIM
COD-023;EXCEL;30;CLIENTE-008; 900,00 € ;PROFESSOR-001; 360,00 € ;28/08/2019;TARDE;COMERCIAL-002; 72,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-024;EXCEL;35;CLIENTE-008; 1.050,00 € ;PROFESSOR-001; 420,00 € ;01/11/2019;MANHÃ;COMERCIAL-004; 84,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-025;EXCEL;40;CLIENTE-007; 1.200,00 € ;PROFESSOR-004; 480,00 € ;16/03/2021;TARDE;COMERCIAL-001; 96,00 € ;SIM;ESPANHA;VALÊNCIA;NÃO
COD-026;WORD;40;CLIENTE-005; 1.000,00 € ;PROFESSOR-005; 480,00 € ;24/12/2019;MANHÃ;COMERCIAL-003; 70,00 € ;NÃO;FRANÇA;PARIS;NÃO
COD-027;WORD;35;CLIENTE-003; 875,00 € ;PROFESSOR-002; 420,00 € ;07/11/2020;MANHÃ;COMERCIAL-002; 61,25 € ;NÃO;ITÁLIA;ROMA;SIM
COD-028;WORD;45;CLIENTE-005; 1.125,00 € ;PROFESSOR-001; 540,00 € ;28/05/2019;MANHÃ;COMERCIAL-004; 78,75 € ;NÃO;FRANÇA;PARIS;SIM
COD-029;WORD;25;CLIENTE-004; 625,00 € ;PROFESSOR-004; 300,00 € ;16/02/2020;MANHÃ;COMERCIAL-003; 43,75 € ;NÃO;ESPANHA;VALÊNCIA;NÃO
COD-030;EXCEL;20;CLIENTE-003; 600,00 € ;PROFESSOR-003; 240,00 € ;28/10/2019;TARDE;COMERCIAL-002; 48,00 € ;SIM;ITÁLIA;ROMA;SIM
COD-031;ACCESS;10;CLIENTE-005; 400,00 € ;PROFESSOR-002; 120,00 € ;20/05/2021;TARDE;COMERCIAL-004; 40,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-032;WORD;12;CLIENTE-003; 300,00 € ;PROFESSOR-001; 144,00 € ;09/09/2021;TARDE;COMERCIAL-001; 21,00 € ;SIM;ITÁLIA;ROMA;NÃO
COD-033;WORD;15;CLIENTE-004; 375,00 € ;PROFESSOR-004; 180,00 € ;03/08/2021;TARDE;COMERCIAL-002; 26,25 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-034;WORD;20;CLIENTE-003; 500,00 € ;PROFESSOR-005; 240,00 € ;22/07/2020;NOITE;COMERCIAL-004; 35,00 € ;NÃO;ITÁLIA;ROMA;SIM
COD-035;EXCEL;25;CLIENTE-006; 750,00 € ;PROFESSOR-002; 300,00 € ;14/11/2020;NOITE;COMERCIAL-001; 60,00 € ;NÃO;FRANÇA;MARSELHA;NÃO
COD-036;EXCEL;30;CLIENTE-004; 900,00 € ;PROFESSOR-001; 360,00 € ;08/11/2019;NOITE;COMERCIAL-003; 72,00 € ;NÃO;ESPANHA;VALÊNCIA;NÃO
COD-037;EXCEL;40;CLIENTE-007; 1.200,00 € ;PROFESSOR-004; 480,00 € ;02/02/2019;TARDE;COMERCIAL-002; 96,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-038;INTERNET;35;CLIENTE-005; 875,00 € ;PROFESSOR-005; 420,00 € ;27/03/2021;TARDE;COMERCIAL-004; 43,75 € ;NÃO;FRANÇA;PARIS;SIM
COD-039;WINDOWS;45;CLIENTE-006; 1.125,00 € ;PROFESSOR-002; 540,00 € ;03/08/2020;TARDE;COMERCIAL-003; 56,25 € ;SIM;FRANÇA;PARIS;NÃO
COD-040;WINDOWS;18;CLIENTE-008; 450,00 € ;PROFESSOR-001; 216,00 € ;02/06/2021;TARDE;COMERCIAL-002; 22,50 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-041;WINDOWS;10;CLIENTE-003; 250,00 € ;PROFESSOR-003; 120,00 € ;26/07/2021;NOITE;COMERCIAL-004; 12,50 € ;SIM;ITÁLIA;ROMA;SIM
COD-042;INTERNET;12;CLIENTE-005; 300,00 € ;PROFESSOR-002; 144,00 € ;22/06/2021;NOITE;COMERCIAL-001; 15,00 € ;SIM;FRANÇA;PARIS;SIM
COD-043;PROGRAMAÇÃO;15;CLIENTE-006; 1.125,00 € ;PROFESSOR-001; 180,00 € ;04/11/2021;NOITE;COMERCIAL-003; 168,75 € ;SIM;FRANÇA;MARSELHA;SIM
COD-044;DESIGN;25;CLIENTE-004; 1.500,00 € ;PROFESSOR-004; 300,00 € ;12/11/2020;NOITE;COMERCIAL-002; 180,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-045;DESIGN;15;CLIENTE-007; 900,00 € ;PROFESSOR-005; 180,00 € ;30/06/2019;NOITE;COMERCIAL-004; 108,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-046;DESIGN;10;CLIENTE-007; 600,00 € ;PROFESSOR-002; 120,00 € ;12/06/2019;TARDE;COMERCIAL-001; 72,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-047;ACCESS;12;CLIENTE-006; 480,00 € ;PROFESSOR-001; 144,00 € ;25/11/2020;NOITE;COMERCIAL-002; 48,00 € ;SIM;FRANÇA;PARIS;SIM
COD-048;ACCESS;15;CLIENTE-005; 600,00 € ;PROFESSOR-004; 180,00 € ;08/01/2019;NOITE;COMERCIAL-004; 60,00 € ;SIM;FRANÇA;PARIS;SIM
