NÚMERO FATURA CLIENTE;CONCEITO;CLIENTE;PROVÍNCIA;SETOR;IMPORTE CLIENTE;DATA FATURA CLIENTE;PAGAMENTO CLIENTE;FORNECEDOR;ZONA;TIPO;IMPORTE FORNECEDOR
1;DESENVOLVIMENTO;CLIENTE-0004;MADRI;CONSTRUÇÃO; 1.200,00 € ;31/07/2019;SIM;PROV-005;ZONA 2;INTERNO; 540,00 € 
2;PROJETO;CLIENTE-0005;BARCELONA;METAL; 800,00 € ;02/06/2021;SIM;PROV-003;ZONA 2;INTERNO; 360,00 € 
3;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 750,00 € ;13/04/2020;SIM;PROV-005;ZONA 2;INTERNO; 337,50 € 
4;PROGRAMA;CLIENTE-0007;BARCELONA;BANCO; 4.500,00 € ;19/03/2020;SIM;PROV-005;ZONA 2;INTERNO; 2.025,00 € 
5;FORMAÇÃO;CLIENTE-0003;MADRI;CONSTRUÇÃO; 500,00 € ;16/11/2019;SIM;PROV-003;ZONA 2;INTERNO; 225,00 € 
6;CONSULTORIA;CLIENTE-0004;MADRI;CONSTRUÇÃO; 750,00 € ;18/02/2019;SIM;PROV-005;ZONA 2;INTERNO; 337,50 € 
7;DESENVOLVIMENTO;CLIENTE-0005;BARCELONA;METAL; 950,00 € ;20/03/2019;SIM;PROV-003;ZONA 2;INTERNO; 427,50 € 
8;PROJETO;CLIENTE-0005;BARCELONA;METAL; 680,00 € ;23/07/2019;SIM;PROV-005;ZONA 2;INTERNO; 306,00 € 
9;EQUIPES;CLIENTE-0006;BARCELONA;BANCO; 950,00 € ;24/12/2021;SIM;PROV-005;ZONA 2;INTERNO; 427,50 € 
10;PROGRAMA;CLIENTE-0007;BARCELONA;BANCO; 1.500,00 € ;29/04/2019;SIM;PROV-003;ZONA 2;INTERNO; 675,00 € 
11;FORMAÇÃO;CLIENTE-0008;ALICANTE;METAL; 5.000,00 € ;07/08/2020;SIM;PROV-001;ZONA 1;EXTERNO; 2.250,00 € 
12;CONSULTORIA;CLIENTE-0009;ALICANTE;CONSTRUÇÃO; 6.500,00 € ;15/03/2019;SIM;PROV-002;ZONA 1;EXTERNO; 2.925,00 € 
